country_name, SDG_one_ind_cov_min, children, mothers_newborns, severe_disab, unemp, old_age, work_injury, social_assist, pension, health,Column1,_1
Algeria, …, …, 11.2, 3.6, 8.8, 63.6, 53.8, …, 16.9, 78.0,,
Egypt, 34.7, 14.0, …, 37.0, 0.1, 57.6, 36.0, 19.9, 21.8, 68.0,,
Libya, 46.2, …, …, 74.4, …, 70.2, …, 5.3, 9.7, 64.0,,
Morocco, 20.5, 13.4, …, 6.8, …, 23.4, 39.0, …, 17.2, 7.0,,
Sudan, 9.3, 8.1, 4.2, 0.7, 0.0, 9.4, 3.0, 7.5, 1.9, 44.0,,
Tunisia, 50.2, 28.6, 25.3, 5.0, 3.0, 85.4, 28.9, 21.3, 34.6, 7.0,,
Angola, 10.5, …, …, …, 0.0, 14.5, …, 5.1, 9.7, 4.0,,
Benin, 7.8, 11.6, 41.0, …, 0.0, 11.0, 4.0, …, 4.8, 4.0,,
Botswana, 14.7, 4.2, 24.0, …, 0.0, 100.0, …, 8.2, 1.7, 61.0,,
Burkina Faso, 9.9, 14.4, 0.4, 0.3, 0.0, 6.0, 8.2, 3.6, 5.6, 4.0,,
Burundi, …, …, …, …, 0.0, 4.0, 3.5, …, 5.0, 42.0,,
Cabo Verde, 39.2, 37.9, 19.3, 30.1, 3.0, 84.8, 50.0, 19.8, 26.7, 69.0,,
Cameroon, 7.1, 2.2, 8.9, 3.3, 0.0, 18.9, 6.9, 1.0, 8.4, 46.0,,
Central African Republic, 3.5, 4.9, 0.1, 0.3, …, 4.7, …, …, 1.9, 33.0,,
Chad, …, …, …, …, 0.0, 1.0, 4.7, …, 1.4, 28.0,,
Comoros, …, …, …, …, …, …, …, …, …, 52.0,,
Congo, …, …, …, …, 0.0, 22.1, 14.2, …, 6.3, 39.0,,
Congo Democratic Republic of the, 14.1, 1.3, …, …, …, 15.0, 26.2, 5.6, 8.9, 41.0,,
Côte d’Ivoire, …, 7.1, …, …, 0.0, 7.7, 14.7, …, 5.1, 47.0,,
Djibouti, 12.3, 3.5, 4.8, …, 0.0, 14.2, 15.1, 4.6, 6.3, 47.0,,
Equatorial Guinea, …, …, …, …, 0.0, …, 14.5, …, …, 45.0,,
Eritrea, …, 0.1, …, …, …, …, …, …, …, 38.0,,
Ethiopia, 7.4, 4.5, …, 1.3, 0.0, 3.9, 7.8, 3.2, 6.2, 39.0,,
Eswatini, 32.0, …, 13.8, …, 0.0, 100.0, …, 20.2, 2.4, 63.0,,
Gabon, …, 37.0, …, …, 0.0, 38.8, 45.0, …, 1.0, 49.0,,
Gambia, 6.1, …, …, …, 0.0, 17.0, 23.4, 0.5, 7.4, 44.0,,
Ghana, 25.3, 25.9, 41.7, 0.2, 0.0, 18.0, …, 5.1, 8.5, 47.0,,
Guinea, …, …, …, …, 0.0, 2.0, 14.5, …, 9.5, 37.0,,
Guinea-Bissau, 0.9, …, …, 0.2, 0.0, 0.2, …, …, 1.4, 4.0,,
Kenya, 10.1, 3.6, 30.2, 0.2, 0.0, 13.2, 9.3, 2.5, 8.9, 55.0,,
Lesotho, 9.2, 10.4, …, …, 0.0, 94.0, …, 7.8, 2.6, 48.0,,
Liberia, 6.2, 5.8, …, …, 0.0, 3.4, 7.5, 2.7, 5.7, 39.0,,
Madagascar, …, …, …, …, 0.0, 4.6, 9.3, …, 5.3, 28.0,,
Malawi, 21.3, 9.8, …, …, 0.0, 2.3, 6.9, 19.6, 3.3, 46.0,,
Mali, 9.3, 5.4, …, 0.6, 0.0, 7.3, 5.3, 5.8, 5.6, 38.0,,
Mauritania, 6.6, 5.1, 0.2, 0.7, 0.0, 16.2, 6.5, 4.9, 4.6, 41.0,,
Mauritius, …, …, …, …, 1.2, 100.0, 68.2, …, 35.5, 63.0,,
Mozambique, 13.4, 0.3, 0.3, 2.6, 0.0, 52.5, 6.2, 10.1, 4.9, 46.0,,
Namibia, 24.2, 22.8, 24.8, 58.0, 0.0, 100.0, …, 18.9, 6.2, 62.0,,
Niger, 20.6, 4.2, …, …, 0.0, 5.8, 6.9, 16.4, 1.9, 37.0,,
Nigeria, 11.0, 12.0, 0.1, 0.1, 7.0, 11.0, 32.8, 1.8, 4.8, 42.0,,
Rwanda, 8.9, 5.2, 1.3, 1.1, 0.0, 3.1, 8.5, 4.1, 7.8, 57.0,,
Sao Tome and Principe, 11.5, …, 2.0, 1.6, 0.0, 71.5, 20.9, …, 12.6, 55.0,,
Senegal, 20.0, 1.0, 3.0, …, 0.0, 29.9, 10.0, 17.0, 5.8, 45.0,,
Seychelles, …, …, …, …, 18.0, 100.0, 69.1, …, …, 71.0,,
Sierra Leone, 4.4, 0.8, …, …, 0.0, 7.0, …, 1.4, 4.6, 39.0,,
Somalia, …, …, …, …, …, …, …, …, …, 25.0,,
South Africa, 49.3, 76.6, 7.6, 66.5, 11.9, 81.4, 19.2, 32.4, 3.4, 69.0,,
South Sudan, 16.4, 17.7, …, …, 0.0, 0.0, …, 16.4, …, 31.0,,
Tanzania, 14.0, …, 0.4, 0.6, 8.6, 5.5, 8.8, 3.0, 3.3, 43.0,,
Togo, 23.2, 49.0, …, …, 0.7, 19.0, 8.3, …, 2.9, 43.0,,
Uganda, 2.8, …, 5.3, …, 0.0, 11.2, …, 1.2, 3.2, 45.0,,
Zambia, 24.6, …, 4.1, …, 0.0, 7.8, …, 19.8, 1.4, 53.0,,
Zimbabwe, 16.3, 6.7, …, 1.3, 0.0, 22.0, 12.4, 5.8, 15.7, 54.0,,
Anguilla, 57.7, 2.0, 73.3, 25.6, 0.0, 44.3, …, 5.6, …, …,,
Antigua and Barbuda, …, …, 37.0, 7.9, 0.0, 75.8, …, 3.9, …, 73.0,,
Argentina, 63.8, 79.6, 31.7, 100.0, 10.8, 89.8, 47.4, 32.8, 28.8, 76.0,,
Aruba, 87.0, …, 82.5, …, 15.7, 97.5, 69.8, 15.5, 1.0, …,,
Bahamas, 49.1, …, 46.5, 51.0, 26.9, 89.6, 67.4, 2.1, 5.3, 75.0,,
Barbados, 55.3, …, …, 45.7, 88.0, 63.5, 65.0, 9.6, 48.2, 77.0,,
Belize, 37.9, 3.0, 19.9, 9.7, 0.0, 49.9, 71.4, 4.6, 46.4, 64.0,,
Bermuda, 80.6, 4.4, …, 38.2, 0.0, 100.0, …, 28.0, 64.9, …,,
Bolivia, 46.6, 66.2, 59.3, 10.3, 0.0, 100.0, 24.6, 37.2, 17.6, 68.0,,
Brazil, 69.9, 67.7, 47.8, 100.0, 17.6, 91.5, 48.7, 45.9, 39.5, 79.0,,
British Virgin Islands, …, …, …, …, 0.0, …, 100.0, …, 1.0, …,,
Cayman Islands, …, …, …, …, 0.0, …, …, …, …, …,,
Chile, 70.2, 68.5, 46.6, 99.4, 27.0, 71.5, 68.7, 38.1, 39.9, 7.0,,
Colombia, 52.5, 36.0, …, 8.6, 4.6, 50.6, 37.7, 33.9, 27.6, 76.0,,
Costa Rica, 58.0, 38.8, 23.4, 79.6, …, 56.2, 58.1, 30.1, 41.6, 77.0,,
Cuba, 48.7, 0.2, 42.7, …, 0.0, 2.7, 100.0, …, 38.6, 83.0,,
Curaçao, …, …, …, …, 0.0, 100.0, …, …, …, …,,
Dominica, 46.8, …, 38.6, 9.7, 0.0, 60.3, 68.3, 28.2, 82.8, …,,
Dominican Republic, 53.6, 62.1, 17.4, 10.4, 0.0, 11.3, 45.2, 41.5, 26.7, 74.0,,
Ecuador, 34.8, 8.6, 6.8, 37.3, 4.7, 60.6, 43.1, 10.7, 32.5, 77.0,,
El Salvador, 22.0, 8.5, 11.0, 2.8, 0.0, 20.1, 30.7, 7.6, 15.7, 76.0,,
Grenada, 66.1, …, 85.3, …, 0.0, 47.8, 92.4, 20.0, 66.9, 72.0,,
Guadeloupe, 82.2, 100.0, …, 100.0, 79.1, 72.7, 36.6, 26.7, …, …,,
Guatemala, 14.5, 2.6, 18.1, 2.2, 0.0, 16.7, 18.6, 6.8, 1.6, 55.0,,
French Guiana, 56.6, 96.8, …, 30.1, …, 46.7, …, 49.4, …, …,,
Guyana, 100.0, …, 30.1, 38.4, 0.0, 100.0, 100.0, 100.0, 56.2, 72.0,,
Haiti, 5.8, 4.1, …, …, 0.0, 0.4, 2.1, 3.2, 4.0, 49.0,,
Honduras, 26.6, 19.4, …, 3.5, …, 10.7, 15.5, 18.2, 11.3, 65.0,,
Jamaica, 30.8, 27.0, 7.0, 31.1, 0.0, 40.3, …, 14.3, 2.8, 65.0,,
Martinique, 69.3, 100.0, …, 83.1, 88.6, 64.1, 59.0, 34.5, …, …,,
Mexico, 62.4, 23.4, 10.4, 40.4, 6.0, 100.0, 35.4, 48.0, 25.0, 76.0,,
Nicaragua, 14.5, 3.1, 17.8, 19.4, 0.0, 28.6, 22.8, 2.3, 16.5, 73.0,,
Panama, 49.7, 21.5, 19.2, …, …, 29.3, 60.2, 21.5, 4.1, 79.0,,
Paraguay, 31.4, 18.6, 8.2, 16.2, 0.0, 64.6, 22.4, 17.6, 21.4, 69.0,,
Peru, 29.3, 16.1, 8.8, 7.3, …, 35.7, 7.4, 15.1, 2.3, 77.0,,
Puerto Rico, 63.2, 2.2, …, 100.0, 6.2, 100.0, 100.0, 4.6, 39.3, …,,
Saint Kitts and Nevis, 72.4, …, 78.0, 35.2, 0.0, 62.3, …, 22.3, 1.0, …,,
Saint Lucia, 35.4, …, 39.4, 13.2, 0.0, 32.5, 53.6, 2.5, 36.9, 68.0,,
Saint Vincent and the Grenadines, 41.6, …, 28.6, 5.4, 0.0, 42.0, …, 7.0, 4.6, 71.0,,
St. Martin, 68.8, 100.0, …, …, …, 60.8, …, 61.0, …, …,,
Suriname, 33.5, 57.9, 0.0, …, 0.0, 100.0, …, 29.6, 7.6, 71.0,,
Trinidad and Tobago, 55.2, 14.6, 40.4, 68.1, 0.0, 91.1, 67.8, 24.0, 4.7, 74.0,,
Turks and Caicos Islands, 52.1, …, 57.5, 9.1, 0.0, 68.4, …, 1.8, …, …,,
United States Virgin Islands, 72.1, 1.9, …, 44.4, 3.2, 100.0, 68.6, 1.8, 52.6, …,,
Uruguay, 93.8, 65.6, 100.0, 100.0, 31.6, 100.0, 71.4, 84.3, 44.5, 8.0,,
Venezuela, …, …, …, 28.3, …, 59.4, …, …, 2.2, 74.0,,
Canada, 99.8, 95.2, 100.0, 68.0, 37.8, 100.0, 69.1, 99.0, 35.2, 89.0,,
Saint Pierre and Miquelon, 100.0, 100.0, 100.0, 77.3, 41.5, 100.0, 100.0, 100.0, …, …,,
United States, 76.1, 100.0, …, 100.0, 27.9, 100.0, 84.8, 31.0, 62.5, 84.0,,
Bahrain, 62.4, 3.8, …, 28.6, 46.6, 75.1, 61.7, 36.9, 55.8, 77.0,,
Iraq, 40.5, …, …, 9.3, 0.0, 33.1, …, 26.9, 14.3, 61.0,,
Jordan, 27.8, 8.8, 4.8, 20.0, 5.3, 60.0, 57.5, 9.7, 23.6, 76.0,,
Kuwait, 17.7, 0.4, …, 8.4, 4.4, 27.6, 95.1, 2.6, 2.3, 76.0,,
Lebanon, 13.9, 32.7, 0.0, …, 0.0, 9.8, 47.8, 1.7, 4.6, 73.0,,
Oman, 16.3, 0.2, …, 16.0, …, 46.9, 9.5, 1.7, 34.0, 69.0,,
Qatar, 7.0, 0.5, …, 6.4, 1.0, 19.4, …, 0.6, 16.8, 68.0,,
Saudi Arabia, 77.8, 6.0, …, 9.4, 6.4, 33.2, 74.7, 49.8, 18.6, 74.0,,
Syrian Arab Republic, …, …, …, …, …, 17.0, 47.8, …, 7.5, 6.0,,
United Arab Emirates, 3.5, 0.2, …, 1.8, 0.3, 22.6, 1.4, 1.2, 18.6, 76.0,,
Yemen, 2.8, 0.0, …, 0.1, 0.0, 7.4, 9.9, 0.0, 2.8, 42.0,,
Australia, 100.0, 100.0, 100.0, 100.0, 52.7, 100.0, 72.0, 100.0, …, 87.0,,
Brunei Darussalam, 34.1, …, 62.9, 100.0, 0.0, 100.0, 91.2, 14.7, 27.0, 81.0,,
Cambodia, 6.2, 4.5, …, 70.1, 0.0, 0.1, 17.2, 4.3, 2.4, 6.0,,
China, 70.8, 3.0, 69.0, 32.6, 24.1, 100.0, 31.8, 33.2, 58.5, 79.0,,
Fiji, 58.9, 2.6, 24.5, 20.1, 0.0, 92.1, 55.7, 28.2, 40.0, 64.0,,
Cook Islands, 86.3, 100.0, …, …, …, 100.0, …, 85.8, …, …,,
"Hong Kong, China; 59.7; …; …; 68.6; 8.2; 73.2; 83.2; 28.3; 5.4; …",,,,,,,,,,,,
Indonesia, 27.8, 25.6, 28.4, 2.5, 0.0, 14.8, 22.5, 16.5, 16.2, 57.0,,
Japan, 98.0, 85.4, …, 56.1, 22.4, 100.0, 83.6, 100.0, 61.7, 83.0,,
Kiribati, 21.0, 1.3, …, …, 0.0, 93.8, …, 5.1, 41.8, 41.0,,
Korea, 77.3, 40.0, …, 24.8, 45.4, 100.0, 85.2, 48.9, 49.0, 86.0,,
Lao People’s Democratic Republic, 12.1, …, 12.7, 0.3, 7.6, 6.3, 8.0, 7.7, 6.2, 51.0,,
"Macau, China; 79.9; …; …; 100.0; 4.4; 44.4; …; 12.7; 66.4; …",,,,,,,,,,,,
Malaysia, 27.3, 2.8, 46.5, 30.5, 3.0, 18.6, 49.8, 2.1, 31.3, 73.0,,
Marshall Islands, 25.2, …, …, …, 0.0, 62.7, …, 1.7, 33.2, …,,
Micronesia, 19.4, 6.8, …, …, 0.0, 100.0, …, 2.2, 45.4, 47.0,,
Mongolia, 100.0, 85.0, 100.0, 100.0, 28.8, 100.0, 76.0, 88.5, 42.7, 62.0,,
Myanmar, 6.3, 2.1, 1.6, 10.6, 0.0, 14.9, 8.5, 1.1, 5.2, 61.0,,
Nauru, 45.4, …, …, 84.6, 2.8, 95.7, …, 45.4, …, …,,
New Caledonia, …, …, …, …, 28.4, …, …, …, …, …,,
New Zealand, 100.0, 67.1, 100.0, 82.0, 44.9, 100.0, 100.0, 100.0, …, 87.0,,
Palau, 35.8, …, …, …, 0.0, 100.0, …, 17.8, 1.0, …,,
Papua New Guinea, 9.6, …, …, …, 0.0, 22.3, 20.5, …, 14.6, 4.0,,
Philippines, 36.7, 31.1, 12.4, 3.3, 0.0, 20.5, 27.8, 22.4, 22.2, 61.0,,
Samoa, 21.1, …, 28.5, …, 0.0, 91.4, 53.5, 5.3, 29.9, 58.0,,
Singapore, 100.0, …, 89.3, 57.7, 0.0, 33.1, 86.0, 100.0, 4.9, 86.0,,
Solomon Islands, …, …, 23.8, …, 0.0, …, 33.3, …, …, 47.0,,
"Taiwan, China; 76.7; 16.4; 14.0; …; 11.1; 87.6; …; 19.9; 58.9; …",,,,,,,,,,,,
Thailand, 68.0, 21.0, 40.0, 92.0, 61.0, 89.1, 31.0, 54.3, 28.3, 8.0,,
Timor-Leste, 30.6, 38.2, …, 21.6, 0.0, 100.0, 31.3, 26.5, 8.9, 52.0,,
Tonga, 22.2, 3.3, 26.3, 20.2, 0.0, 90.0, …, 6.2, 26.5, 58.0,,
Tuvalu, …, …, …, …, 0.0, 15.0, …, …, …, …,,
Vanuatu, 57.4, …, …, …, 0.0, …, 28.1, 53.3, …, 48.0,,
Viet Nam, 38.8, …, 44.0, 83.5, 66.6, 40.9, 26.2, 24.6, 2.3, 75.0,,
Afghanistan, 7.5, 0.4, 1.7, 13.6, 1.7, 24.7, 4.2, 5.9, 1.8, 37.0,,
Bangladesh, 28.4, 29.4, 20.9, 18.3, 0.0, 39.0, 12.5, 14.9, 0.5, 48.0,,
Bhutan, 8.8, 13.5, 10.4, …, 0.0, …, 28.4, 5.0, 10.0, 62.0,,
India, 24.4, 24.1, 41.5, 5.6, 0.0, 42.5, 3.7, 16.4, 15.5, 55.0,,
Iran, of, 27.8, 16.4, 13.1, 9.3, 6.7, 21.3, 45.8, 9.3, 22.4,72, 
Maldives, 21.2, 8.2, 26.2, 42.7, 0.0, 100.0, …, 8.1, 19.6, 62.0,,
Nepal, 17.0, 22.9, 9.8, 13.7, 0.0, 84.2, 4.5, 14.8, 3.7, 48.0,,
Pakistan, 9.2, 5.4, …, 1.7, 0.0, 5.8, 2.7, 5.0, 5.7, 45.0,,
Sri Lanka, 36.4, 32.0, 29.4, 18.0, 0.0, 35.7, 58.0, 16.0, 24.7, 66.0,,
Armenia, 54.4, 30.2, 61.6, 100.0, 0.0, 65.2, 53.2, 19.6, 24.6, 69.0,,
Azerbaijan, 39.0, 16.9, 16.0, 100.0, 19.1, 72.8, 32.1, 13.4, 2.8, 65.0,,
Cyprus, 61.2, 60.3, 100.0, 22.6, 17.8, 97.8, 68.2, 24.1, 5.5, 78.0,,
Georgia, 97.1, 48.1, 26.0, 100.0, 0.0, 90.9, 48.9, 92.9, 3.2, 66.0,,
Israel, 54.9, …, 100.0, 89.2, 42.0, 100.0, 74.1, …, 64.4, 82.0,,
Kazakhstan, 100.0, 57.4, 44.2, 100.0, 8.9, 99.6, 75.4, 74.2, 68.8, 76.0,,
Kyrgyzstan, 41.7, 16.9, 23.8, 65.1, 2.7, 100.0, 64.6, 14.1, 36.2, 7.0,,
Tajikistan, 26.6, 14.0, 66.5, 49.0, 20.8, 93.7, …, 7.5, 21.3, 68.0,,
Turkey, 79.8, …, …, 5.6, 18.3, 100.0, 60.3, …, 32.3, 74.0,,
Turkmenistan, …, …, …, …, …, …, …, …, …, 7.0,,
Uzbekistan, 42.7, 29.2, 16.0, 39.7, 0.8, 100.0, 44.1, 15.6, …, 73.0,,
Belarus, 36.0, …, 100.0, 100.0, 44.6, 100.0, 70.9, …, 42.7, 76.0,,
Bulgaria, 88.3, 48.6, 100.0, 100.0, 35.4, 94.0, 86.8, 28.8, 46.8, 66.0,,
Czechia, 88.8, 10.8, 100.0, 100.0, 45.7, 91.3, 66.2, 32.0, 5.6, 76.0,,
Hungary, 86.2, 100.0, 100.0, 100.0, 26.3, 90.5, 78.3, 56.0, 54.1, 74.0,,
Poland, 84.9, 100.0, 100.0, 100.0, 16.5, 83.6, 100.0, 52.0, 5.5, 75.0,,
Republic of Moldova, 42.0, …, 100.0, 100.0, 10.5, 75.2, 71.6, …, 3.2, 69.0,,
Romania, 95.0, 100.0, 100.0, 100.0, 15.8, 93.5, 63.1, 82.6, 34.2, 74.0,,
Russian, Federation, 90.1, 100.0, 63.0, 100.0, 82.7, 100.0, 79.1, 76.0, 61.6,74, 
Slovakia, 92.1, 100.0, 100.0, 100.0, 13.0, 90.6, 66.4, 70.0, 56.8, 77.0,,
Ukraine, 73.0, 100.0, 100.0, 100.0, 84.1, 96.0, …, 39.0, 25.5, 68.0,,
Albania, …, …, …, …, 6.9, 77.0, 34.0, …, 24.1, 59.0,,
Andorra, …, …, …, …, 11.1, …, …, …, …, …,,
Austria, 98.6, 100.0, 100.0, 100.0, 100.0, 100.0, 77.4, 93.0, 53.7, 79.0,,
Belgium, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 63.1, 100.0, 49.3, 84.0,,
Bosnia and Herzegovina, 40.0, …, 100.0, 100.0, 5.3, 69.5, …, …, 2.7, 61.0,,
Croatia, 56.0, 47.0, 100.0, 100.0, 22.4, 89.8, 68.0, …, 4.3, 71.0,,
Denmark, 89.5, 100.0, 100.0, 100.0, 93.7, 100.0, 88.0, 63.7, 62.2, 81.0,,
Estonia, 98.4, 100.0, 100.0, 100.0, 47.5, 100.0, 76.8, 91.7, 47.5, 75.0,,
Finland, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 66.5, 100.0, 53.0, 78.0,,
France, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 74.1, 100.0, 45.3, 78.0,,
Germany, 99.5, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 96.0, 53.2, 83.0,,
Greece, 64.0, …, 100.0, 100.0, 26.4, 95.8, 46.9, …, 49.2, 75.0,,
Guernsey, …, …, …, …, …, …, …, …, …, …,,
Iceland, 81.0, 63.4, 100.0, 100.0, 100.0, 71.4, 95.1, …, 75.3, 84.0,,
Ireland, 90.1, 100.0, 100.0, 100.0, 100.0, 100.0, 71.8, 73.8, 62.7, 76.0,,
Isle of Man, …, …, …, …, 80.0, …, …, …, …, …,,
Italy, 82.0, …, 100.0, 91.4, 48.2, 94.4, 72.2, 42.6, 48.7, 82.0,,
Jersey, …, …, …, …, …, …, …, …, …, …,,
Latvia, 96.5, 100.0, 100.0, 100.0, 40.0, 92.0, 69.2, 85.0, 61.4, 71.0,,
Liechtenstein, …, 100.0, 100.0, 100.0, 67.2, 100.0, …, …, …, …,,
Lithuania, 92.7, 100.0, 100.0, 100.0, 37.7, 97.1, 64.7, 51.3, 59.0, 73.0,,
Luxembourg, 96.0, 100.0, 100.0, 100.0, 49.8, 100.0, 77.1, …, 59.3, 83.0,,
Malta, …, …, 100.0, 59.8, 49.7, 100.0, 73.5, …, 56.5, 82.0,,
Monaco, …, …, …, …, …, …, …, …, …, …,,
Montenegro, 41.0, …, 100.0, 100.0, 29.3, 90.6, …, …, 43.8, 68.0,,
Netherlands, 97.5, 100.0, 100.0, 100.0, 74.8, 100.0, 97.6, 90.3, 63.6, 86.0,,
North Macedonia, 39.0, …, 100.0, 100.0, 17.5, 68.6, …, …, 44.7, 72.0,,
Norway, 95.8, 100.0, 100.0, 100.0, 58.2, 100.0, 89.6, 83.1, 63.8, 87.0,,
Portugal, 90.2, 93.1, 100.0, 89.0, 40.2, 90.4, 77.3, 59.3, 53.8, 82.0,,
San Marino, …, …, 100.0, …, …, …, 96.9, …, …, …,,
Serbia, 39.0, …, …, …, 6.6, 63.5, 66.2, …, 29.9, 65.0,,
Slovenia, 100.0, 79.4, 96.0, 100.0, 29.7, 100.0, 80.5, 100.0, 54.5, 79.0,,
Spain, 80.9, 100.0, 100.0, 77.3, 44.2, 98.2, 76.2, 45.0, 46.9, 83.0,,
Sweden, 100.0, 100.0, 100.0, 100.0, 60.2, 100.0, 84.8, 100.0, 64.6, 86.0,,
Switzerland, 92.7, 100.0, 100.0, 96.9, 62.0, 100.0, 66.7, 70.2, 68.3, 83.0,,
United Kingdom, 93.5, 100.0, 100.0, 100.0, 56.4, 100.0, 68.0, 76.6, 55.7, 87.0,,
