Country,Region,South
Afghanistan,Asia & Pacific,Global South
Antigua and Barbuda,South/Latin America,Global South
Anguilla,South/Latin America,Global South
Angola,Africa,Global South
Argentina,South/Latin America,Global South
American Samoa,Asia & Pacific,Global South
Aruba,South/Latin America,Global South
Barbados,South/Latin America,Global South
Bangladesh,Asia & Pacific,Global South
Burkina Faso,Africa,Global South
Bahrain,Arab States,Global South
Burundi,Africa,Global South
Benin,Africa,Global South
Bermuda,South/Latin America,Global South
Brunei Darussalam,Asia & Pacific,Global South
Bolivia,South/Latin America,Global South
Brazil,South/Latin America,Global South
Bahamas,South/Latin America,Global South
Bhutan,Asia & Pacific,Global South
Bouvet Island,South/Latin America,Global South
Botswana,Africa,Global South
Belize,South/Latin America,Global South
Cocos (Keeling) Islands,Asia & Pacific,Global South
"Congo, The Democratic Republic of the",Africa,Global South
Central African Republic,Africa,Global South
Congo,Africa,Global South
Ivory Coast,Africa,Global South
Cook Islands,Asia & Pacific,Global South
Chile,South/Latin America,Global South
Cameroon,Africa,Global South
China,Asia & Pacific,Global South
Colombia,South/Latin America,Global South
Costa Rica,South/Latin America,Global South
Cape Verde,Africa,Global South
Christmas Island,Asia & Pacific,Global South
Djibouti,Arab States,Global South
Dominica,South/Latin America,Global South
Dominican Republic,South/Latin America,Global South
Algeria,Arab States,Global South
Ecuador,South/Latin America,Global South
Egypt,Middle east,Global South
Western Sahara,Africa,Global South
Eritrea,Africa,Global South
Ethiopia,Africa,Global South
Fiji,Asia & Pacific,Global South
Falkland Islands (Malvinas),South/Latin America,Global South
"Micronesia, Federated States of",Asia & Pacific,Global South
Gabon,Africa,Global South
Grenada,South/Latin America,Global South
French Guiana,South/Latin America,Global South
Ghana,Africa,Global South
Gambia,Africa,Global South
Guinea,Africa,Global South
Guadeloupe,South/Latin America,Global South
Equatorial Guinea,Africa,Global South
South Georgia and the South Sandwich Islands,South/Latin America,Global South
Guatemala,South/Latin America,Global South
Guam,Asia & Pacific,Global South
Guinea-Bissau,Africa,Global South
Guyana,South/Latin America,Global South
Heard Island and McDonald Islands,Asia & Pacific,Global South
Honduras,South/Latin America,Global South
Haiti,South/Latin America,Global South
Indonesia,Asia & Pacific,Global South
India,Asia & Pacific,Global South
British Indian Ocean Territory,Asia & Pacific,Global South
Iraq,Middle east,Global South
"Iran, Islamic Republic of",Middle east,Global South
Jamaica,South/Latin America,Global South
Jordan,Middle east,Global South
Kenya,Africa,Global South
Kyrgyzstan,Asia & Pacific,Global South
Cambodia,Asia & Pacific,Global South
Kiribati,Asia & Pacific,Global South
Comoros,Arab States,Global South
Saint Kitts and Nevis,South/Latin America,Global South
"Korea, Democratic People's Republic of",Asia & Pacific,Global South
Cayman Islands,South/Latin America,Global South
Lao People's Democratic Republic,Asia & Pacific,Global South
Lebanon,Middle east,Global South
Saint Lucia,South/Latin America,Global South
Sri Lanka,Asia & Pacific,Global South
Liberia,Africa,Global South
Lesotho,Africa,Global South
Libya,Middle east,Global South
Morocco,Arab States,Global South
Madagascar,Africa,Global South
Marshall Islands,Asia & Pacific,Global South
Mali,Africa,Global South
Myanmar,Asia & Pacific,Global South
Mongolia,Asia & Pacific,Global South
Macau,Asia & Pacific,Global South
Northern Mariana Islands,Asia & Pacific,Global South
Martinique,South/Latin America,Global South
Mauritania,Arab States,Global South
Montserrat,South/Latin America,Global South
Mauritius,Africa,Global South
Maldives,Asia & Pacific,Global South
Malawi,Africa,Global South
Mexico,South/Latin America,Global South
Malaysia,Asia & Pacific,Global South
Mozambique,Africa,Global South
Namibia,Africa,Global South
New Caledonia,Asia & Pacific,Global South
Niger,Africa,Global South
Norfolk Island,Asia & Pacific,Global South
Nigeria,Africa,Global South
Nicaragua,South/Latin America,Global South
Nepal,Asia & Pacific,Global South
Nauru,Asia & Pacific,Global South
Niue,Asia & Pacific,Global South
Oman,Middle east,Global South
Panama,South/Latin America,Global South
Peru,South/Latin America,Global South
French Polynesia,Asia & Pacific,Global South
Papua New Guinea,Asia & Pacific,Global South
Philippines,Asia & Pacific,Global South
Pakistan,Asia & Pacific,Global South
Pitcairn Islands,Asia & Pacific,Global South
Puerto Rico,South/Latin America,Global South
Palestinian Territory,Arab States,Global South
Paraguay,South/Latin America,Global South
Reunion,Asia & Pacific,Global South
Rwanda,Africa,Global South
Saudi Arabia,Middle east,Global South
Solomon Islands,Asia & Pacific,Global South
South Sudan,Africa,Global South
Sudan,Arab States,Global South
Saint Helena,Africa,Global South
Sierra Leone,Africa,Global South
Senegal,Africa,Global South
Somalia,Arab States,Global South
Suriname,South/Latin America,Global South
Sao Tome and Principe,Africa,Global South
El Salvador,South/Latin America,Global South
Syrian Arab Republic,Asia & Pacific,Global South
Swaziland,Africa,Global South
Turks and Caicos Islands,South/Latin America,Global South
Chad,Africa,Global South
French Southern Territories,Asia & Pacific,Global South
Togo,Africa,Global South
Thailand,Asia & Pacific,Global South
Tajikistan,Asia & Pacific,Global South
Tokelau,Asia & Pacific,Global South
Turkmenistan,Asia & Pacific,Global South
Tunisia,Arab States,Global South
Tonga,Asia & Pacific,Global South
Timor-Leste,Asia & Pacific,Global South
Trinidad and Tobago,South/Latin America,Global South
Tuvalu,Asia & Pacific,Global South
"Tanzania, United Republic of",Africa,Global South
Uganda,Africa,Global South
Uruguay,South/Latin America,Global South
Uzbekistan,Asia & Pacific,Global South
Saint Vincent and the Grenadines,South/Latin America,Global South
Venezuela,South/Latin America,Global South
"Virgin Islands, British",South/Latin America,Global South
"Virgin Islands, U.S.",South/Latin America,Global South
Vietnam,Asia & Pacific,Global South
Vanuatu,Asia & Pacific,Global South
Wallis and Futuna,Asia & Pacific,Global South
Samoa,Asia & Pacific,Global South
Yemen,Middle east,Global South
Mayotte,Africa,Global South
South Africa,Africa,Global South
Zambia,Africa,Global South
Zimbabwe,Africa,Global South
Saint Barthelemy,South/Latin America,Global South
Saint Martin,South/Latin America,Global South
